FECHA,CONTRATO,No. Concepto,Descripción detallada de los bienes                                (principio activo),Presentación                                         unidad de medida ,MAXIMO,MINIMO,CLAVE GOB,,
2015-02-18,METRO 2015,20,Atropina,Solución inyectable 1 mg/ml 50 ampolletas con 1 ml,0,0,204,,
2015-02-18,METRO 2015,21,Lidocaína,Solución inyectable al 1 % 500 mg/50 ml 5 frascos ámpula con 50 ml,0,0,261,,
2015-02-18,METRO 2015,22,Lidocaína,Solución inyectable al 2 % 1 g/50 ml 5 frascos ámpula con 50 ml,0,0,262,,
2015-02-18,METRO 2015,23,Lidocaína,Solución inyectable al 5 % 100 mg/2 ml 50 ampolletas con 2 ml,0,0,263,,
2015-02-18,METRO 2015,24,Lidocaína,Solución al 10 % 10 g/100 ml 115 ml con atomizador manual,0,0,264,,
2015-02-18,METRO 2015,25,Lidocaína- epinefrina,Solución inyectable al 2% Lidocaína 1 g Epinefrina 0.25 mg 5 frascos ámpula con 50 ml,0,0,265,,
2015-02-18,METRO 2015,26,Lidocaína- epinefrina,Solución inyectable al 2% Lidocaína 36 mg Epinefrina 0.018 mg 50 artuchos dentales con 1.8 ml,0,0,267,,
2015-02-18,METRO 2015,27,Digoxina,Tableta 0.25 mg 20 tabletas,0,0,502,,
2015-02-18,METRO 2015,28,Digoxina,Elíxir 0.05 mg/ml Envase con 60 ml,0,0,503,,
2015-02-18,METRO 2015,29,Digoxina,Solución inyectable 0.5 mg/2 ml 6 ampolletas de 2 ml,0,0,504,,
2015-02-18,METRO 2015,30,Potasio sales de,"Tableta soluble Bicarbonato de K+
766 mg bitartrato de
K+ 460 mg 50 tabletas solubles",0,0,523,,
2015-02-18,METRO 2015,31,Propranolol,Tableta 40 mg 30 tabletas,0,0,530,,
2015-02-18,METRO 2015,32,Propranolol,Tableta 10 mg 30 tabletas,0,0,539,,
2015-02-18,METRO 2015,33,Clortalidona,Tableta 50 mg 20 tabletas,0,0,561,,
2015-02-18,METRO 2015,34,Hidralazina,Tableta 10 mg 20 tabletas,0,0,570,,
2015-02-18,METRO 2015,35,Metoprolol,Tableta 100 mg 20 tabletas,0,0,572,,
2015-02-18,METRO 2015,36,Captopril,Tableta 25 mg 30 tabletas,0,0,574,,
2015-02-18,METRO 2015,37,Trinitrato de glicerilo,Cápsula o tableta masticable 0.8 mg 24 cápsulas o tabletas,0,0,591,,
2015-02-18,METRO 2015,38,Isosorbida,Tableta sublingual 5 mg 20 tabletas sublinguales,0,0,592,,
2015-02-18,METRO 2015,39,Isosorbida,Tableta 10 mg 20 tabletas,0,0,593,,
2015-02-18,METRO 2015,40,Nifedipino,Cápsula de gelatina blanda 10 mg 20 cápsulas,0,0,597,,
2015-02-18,METRO 2015,41,Nifedipino,Comprimido de liberación prolongada 30 mg 30 comprimidos,0,0,599,,
2015-02-18,METRO 2015,42,Epinefrina,Solución inyectable 1 mg (1:1 000) 50 ampolletas de 1.0 ml,0,0,611,,
2015-02-18,METRO 2015,43,Amlodipino,Tableta 5 mg 10 tabletas o cápsulas.,0,0,2111,,
2015-02-18,METRO 2015,44,Amlodipino,Tableta 5 mg 30 tabletas o cápsulas.,0,0,2111.01,,
2015-02-18,METRO 2015,45,Felodipino,Tableta de liberación prolongada 5 mg 10 tabletas,0,0,2114,,
2015-02-18,METRO 2015,46,Hidralazina,Solución inyectable 10 mg/ ml 5 ampolletas con 1.0 ml,0,0,2116,,
2015-02-18,METRO 2015,47,Enalapril o lisinopril o ramipril,Cápsula o tableta 10 mg. 30 cápsulas o tabletas,0,0,2501,,
2015-02-18,METRO 2015,48,Pentoxifilina,Tableta o gragea de liberación prolongada 400 mg 30 tabletas o grageas,0,0,4117,,
2015-02-18,METRO 2015,49,Hidralazina,Solución inyectable 20 mg 5 ampolletas con 1.0 ml,0,0,4201,,
2015-02-18,METRO 2015,50,Baño coloide,Polvo Harina de soya 965 mg/g Polividona 20 mg/g Un sobre con 90 g,0,0,801,,
2015-02-18,METRO 2015,51,Baño coloide,Polvo Harina de soya 965 mg/g Polividona 20 mg/g Dos sobres con 90 g,0,0,801.01,,
2015-02-18,METRO 2015,52,Óxido de zinc,Pasta 25 g/100 g Envase con 30 g,0,0,804,,
2015-02-18,METRO 2015,53,Fluocinolona,Crema 0.1 mg/g Envase con 20 g.,0,0,811,,
2015-02-18,METRO 2015,54,Hidrocortisona,Crema 1 mg/g Envase con 15 g,0,0,813,,
2015-02-18,METRO 2015,55,Benzoilo,Loción dérmica o gel dérmico 5 g/100 ml o 5 g/ 100 g Envase con 30 ml,0,0,822,,
2015-02-18,METRO 2015,56,Benzoilo,Loción dérmica o gel dérmico 5 g/100 ml o 5 g/ 100 g Envase con 50 ml,0,0,822.01,,
2015-02-18,METRO 2015,57,Benzoilo,Loción dérmica o gel dérmico 5 g/100 ml o 5 g/ 100 g Envase con 60 g,0,0,822.02,,
2015-02-18,METRO 2015,58,Alantoína y alquitrán de hulla,Suspensión dérmica 20 mg/ml y 9.4 mg/ml Envase con 120 ml,0,0,831,,
2015-02-18,METRO 2015,59,Bencilo,Emulsión dérmica 300 mg/ml Envase con 120 ml,0,0,861,,
2015-02-18,METRO 2015,60,Permetrina,Solución 1 g Envase con 110 ml,0,0,865,,
2015-02-18,METRO 2015,61,Alibour,Polvo Sulfato de cobre 177 mg/g Sulfato de zinc 619.5 mg/g alcanfor 26.5 mg/g 12 sobres con 2.2 g,0,0,871,,
2015-02-18,METRO 2015,62,Clioquinol,Crema 30 mg/g Envase con 20 g,0,0,872,,
2015-02-18,METRO 2015,63,Miconazol,Crema 20 mg/ 1 g Envase con 20 g,0,0,891,,
2015-02-18,METRO 2015,64,Podofilina,Solución dérmica 250 mg/ml. Envase con 5 ml,0,0,901,,
2015-02-18,METRO 2015,65,Aceite de almendras dulces,Crema Envase con 235 ml,0,0,910,,
2015-02-18,METRO 2015,66,Isoconazol,Crema 1 g/ 100 g Envase con 20 g,0,0,2024,,
2015-02-18,METRO 2015,67,Aceite de almendras dulces,Crema Envase con 240 ml,0,0,2118,,
2015-02-18,METRO 2015,68,Mometasona,Ungüento 0.100 g/100 g Envase con 30 g,0,0,4132,,
2015-02-18,METRO 2015,69,Mometasona,Loción 0.100 g/100 ml Envase con 30 ml,0,0,4133,,
2015-02-18,METRO 2015,70,Mometasona,Loción 0.100 g/100 ml Envase con 60 ml,0,0,4133.01,,
2015-02-18,METRO 2015,71,Hidroquinona,Crema 4 g/ 100 g Envase con 15 g,0,0,4134,,
2015-02-18,METRO 2015,72,Hidroquinona,Crema 4 g/ 100 g Envase con 30 g,0,0,4134.01,,
2015-02-18,METRO 2015,73,Alantoína- alquitrán de hulla y clioquinol,Crema 0.2 g/100 g; 5 g/100 g y 3 g/100 g Envase con 60 g,0,0,5132,,
2015-02-18,METRO 2015,74,Alantoína- alquitrán de hulla y clioquinol,Crema 0.2 g/100 g; 5 g/100 g y 3 g/100 g Envase con 150 g,0,0,5132.01,,
2015-02-18,METRO 2015,75,Prednisona,Tableta 5 mg 20 tabletas,0,0,472,,
2015-02-18,METRO 2015,76,Prednisona,Tableta 50 mg 20 tabletas,0,0,473,,
2015-02-18,METRO 2015,77,Tolbutamida,Tableta 500 mg 50 tabletas,0,0,1041,,
2015-02-18,METRO 2015,78,Glibenclamida,Tableta 5 mg 50 tabletas,0,0,1042,,
2015-02-18,METRO 2015,79,Insulina humana acción intermedia NPH,Suspensión inyectable 100 UI/ml Un frasco ámpula con 5 ml,0,0,1050,,
2015-02-18,METRO 2015,80,Insulina humana acción intermedia NPH,Suspensión inyectable 100 UI/ml Un frasco ámpula con 10 ml,0,0,1050.01,,
2015-02-18,METRO 2015,81,Insulina humana acción rápida regular,Solución inyectable 100 UI/ml Un frasco ámpula con 5 ml,0,0,1051,,
2015-02-18,METRO 2015,82,Insulina humana acción rápida regular,Solución inyectable 100 UI/ml Un frasco ámpula con 10 ml,0,0,1051.01,,
2015-02-18,METRO 2015,83,Bromocriptina,Tableta 2.5 mg 14 tabletas,0,0,1096,,
2015-02-18,METRO 2015,84,Insulina humana de acción intermedia lenta,Suspensión inyectable 100 UI/ml Un frasco ámpula con 10 ml,0,0,4157,,
2015-02-18,METRO 2015,85,Metformina,Tableta 850 mg 30 tabletas,0,0,5165,,
2015-02-18,METRO 2015,86,Insulina lispro lispro protamina,Suspensión inyectable. 100 UI. Envase con 2 cartuchos con 3 ml.,0,0,,,
2015-02-18,METRO 2015,87,Benzatina bencilpenicilina,Suspensión inyectable 600 000 UI Frasco ámpula y diluyente con 5 ml,0,0,71,,
2015-02-18,METRO 2015,88,Dapsona,Tableta 100 mg 1000 tabletas,0,0,906,,
2015-02-18,METRO 2015,89,Diyodohidroxiquinoleína,Tableta 650 mg 60 tabletas,0,0,1301,,
2015-02-18,METRO 2015,90,Diyodohidroxiquinoleína,Suspensión 210 mg/ 5 ml Envase con 120 ml,0,0,1302,,
2015-02-18,METRO 2015,91,Metronidazol,Tableta 500 mg 20 tabletas,0,0,1308,,
2015-02-18,METRO 2015,92,Metronidazol,Tableta 500 mg 30 tabletas,0,0,1308.01,,
2015-02-18,METRO 2015,93,Metronidazol,Suspensión 250 mg/ 5 ml Envase con 120 ml,0,0,1310,,
2015-02-18,METRO 2015,94,Quinfamida,Tableta 300 mg Envase con una tableta,0,0,1314,,
2015-02-18,METRO 2015,95,Albendazol,Tableta 200 mg 2 tabletas,0,0,1344,,
2015-02-18,METRO 2015,96,Albendazol,Suspensión oral 400 mg/20 ml Envase con 20 ml,0,0,1345,,
2015-02-18,METRO 2015,97,Prazicuantel,Tableta 150 mg 1000 tabletas,0,0,1346,,
2015-02-18,METRO 2015,98,Albendazol,Tableta 200 mg 100 tabletas,0,0,1347,,
2015-02-18,METRO 2015,99,Trimetoprima - sulfametoxazol,Tableta o comprimido 80 mg y 400 mg 20 tabletas o comprimidos,0,0,1903,,
2015-02-18,METRO 2015,100,Trimetoprima - sulfametoxazol,Suspensión 40 mg/200 mg/ 5 ml Envase con 120 ml,0,0,1904,,
2015-02-18,METRO 2015,101,Nitrofurantoína,Cápsula 100 mg 40 cápsulas,0,0,1911,,
2015-02-18,METRO 2015,102,Bencilpenicilina procaínica - bencilpenicilina cristalina,Suspensión inyectable 300 000 UI /100 000 UI Frasco ámpula y diluyente con 2 ml,0,0,1923,,
2015-02-18,METRO 2015,103,Bencilpenicilina procaínica - bencilpenicilina cristalina,Suspensión inyectable 600 000 UI/200 000 UI Frasco ámpula y diluyente con 2 ml,0,0,1924,,
2015-02-18,METRO 2015,104,Benzatina bencilpenicilina,Suspensión inyectable 1 200 000 UI Frasco ámpula y diluyente con 5 ml,0,0,1925,,
2015-02-18,METRO 2015,105,Dicloxacilina,Cápsula o comprimido 500 mg 20 cápsulas o comprimidos,0,0,1926,,
2015-02-18,METRO 2015,106,Dicloxacilina,Suspensión 250 mg/ 5 ml Envase para 60 ml,0,0,1927,,
2015-02-18,METRO 2015,107,Ampicilina,Tableta o cápsula 500 mg 20 tabletas o cápsulas,0,0,1929,,
2015-02-18,METRO 2015,108,Ampicilina,Suspensión 250 mg/ 5 ml Envase para 60 ml,0,0,1930,,
2015-02-18,METRO 2015,109,Bencilpenicilina benzatínica compuesta,Suspensión inyectable Benzatínica 600 000 UI Procaínica  300 000 UI Cristalina   300 000 UI Frasco ámpula y diluyente con 3 ml,0,0,1938,,
2015-02-18,METRO 2015,110,Cefalexina,Tableta ó cápsula 500 mg 20 tabletas ó cápsulas,0,0,1939,,
2015-02-18,METRO 2015,111,Doxiciclina,Cápsula o tableta 100 mg 10 cápsulas o tabletas,0,0,1940,,
2015-02-18,METRO 2015,112,Doxiciclina,Cápsula o tableta 50 mg 28 cápsulas o tabletas,0,0,1941,,
2015-02-18,METRO 2015,113,Gentamicina,Solución inyectable 80 mg Ampolleta con 2 ml,0,0,1954,,
2015-02-18,METRO 2015,114,Gentamicina,Solución inyectable 20 mg Ampolleta con 2 ml,0,0,1955,,
2015-02-18,METRO 2015,115,Eritromicina,Cápsula o tableta 500 mg 20 cápsulas o tabletas,0,0,1971,,
2015-02-18,METRO 2015,116,Eritromicina,Suspensión 250 mg/ 5 ml Envase para 100 ml,0,0,1972,,
2015-02-18,METRO 2015,117,Tetraciclina,Tableta o cápsula 250 mg 10 tabletas o cápsulas,0,0,1981,,
2015-02-18,METRO 2015,118,Cloranfenicol,Cápsula 500 mg 20 cápsulas,0,0,1991,,
2015-02-18,METRO 2015,119,Ketoconazol,Tableta 200 mg 10 tabletas,0,0,2016,,
2015-02-18,METRO 2015,120,Itraconazol,Cápsula 100 mg 15 cápsulas,0,0,2018,,
2015-02-18,METRO 2015,121,Cloroquina,Tableta 150 mg 1000 tabletas,0,0,2030,,
2015-02-18,METRO 2015,122,Primaquina,Tableta 5 mg 20 tabletas,0,0,2031,,
2015-02-18,METRO 2015,123,Primaquina,Tableta 15 mg 20 tabletas,0,0,2032,,
2015-02-18,METRO 2015,124,Quinina,Tableta 300 mg 30 tabletas,0,0,2034,,
2015-02-18,METRO 2015,125,Prazicuantel,Tableta 600 mg 25 tabletas,0,0,2040,,
2015-02-18,METRO 2015,126,Tinidazol,Tableta 500 mg 8 tabletas,0,0,2042,,
2015-02-18,METRO 2015,127,Amoxicilina,Suspensión 500 mg/ 5 ml Envase para 75 ml,0,0,2127,,
2015-02-18,METRO 2015,128,Amoxicilina,Cápsula 500 mg 12 cápsulas,0,0,2128,,
2015-02-18,METRO 2015,129,Amoxicilina,Cápsula 500 mg 15 cápsulas,0,0,2128.01,,
2015-02-18,METRO 2015,130,Amoxicilina - ácido clavulánico,Suspensión 125 mg/31.25 mg/ 5 ml Envase con 60 ml,0,0,2129,,
2015-02-18,METRO 2015,131,Amoxicilina - ácido clavulánico,Solución inyectable 500 mg/100 mg Envase con un fraso ámpula con 10 ml,0,0,2130,,
2015-02-18,METRO 2015,132,Cefaclor,Cápsula 250 mg 15 cápsulas,0,0,2131,,
2015-02-18,METRO 2015,133,Claritromicina,Tableta 250 mg 10 tabletas,0,0,2132,,
2015-02-18,METRO 2015,134,Clindamicina,Cápsula 300 mg 16 cápsulas,0,0,2133,,
2015-02-18,METRO 2015,135,Mebendazol,Tableta 100 mg 6 tabletas,0,0,2136,,
2015-02-18,METRO 2015,136,Pirantel,Tableta 250 mg 6 tabletas,0,0,2138,,
2015-02-18,METRO 2015,137,Cefaclor,Suspensión 250 mg/5 ml Envase para 150 ml,0,0,2163,,
2015-02-18,METRO 2015,138,Amoxicilina - ácido clavulánico,Tableta 500 mg/125 mg 12 tabletas,0,0,2230,,
2015-02-18,METRO 2015,139,Amoxicilina - ácido clavulánico,Tableta 500 mg/125 mg 16 tabletas,0,0,2230.01,,
2015-02-18,METRO 2015,140,Metenamina,Tableta 500 mg 30 tabletas,0,0,2333,,
2015-02-18,METRO 2015,141,Estreptomicina,Solución inyectable 1 g Frasco ámpula y diluyente con 2 ml,0,0,2403,,
2015-02-18,METRO 2015,142,Isoniazida,Tableta 100 mg 200 tabletas,0,0,2404,,
2015-02-18,METRO 2015,143,Etambutol,Tableta 400 mg 50 tabletas,0,0,2405,,
2015-02-18,METRO 2015,144,Rifampicina,Cápsula o comprimido o tableta recubierta 300 mg 1 000 cápsulas o comprimidos o tabletas recubiertas,0,0,2409,,
2015-02-18,METRO 2015,145,Rifampicina,Suspensión 100 mg/ 5 ml Envase con 120 ml,0,0,2410,,
2015-02-18,METRO 2015,146,Pirazinamida,Tableta 500 mg 50 tabletas,0,0,2413,,
2015-02-18,METRO 2015,147,Rifampicina – isoniazida - pirazinamida,Tableta o gragea 150 mg/ 75 mg/ 400 mg 240 tabletas o grageas,0,0,2414,,
2015-02-18,METRO 2015,148,Isoniazida - rifampicina,Comprimido o cápsula 200 mg/ 150 mg 120 comprimidos o cápsulas,0,0,2415,,
2015-02-18,METRO 2015,149,Isoniazida - etambutol,Comprimido o gragea 100 mg/ 300 mg 100 comprimidos o grageas,0,0,2416,,
2015-02-18,METRO 2015,150,Isoniazida - rifampicina,Tableta recubierta 400 mg/ 300 mg 90 tabletas recubiertas,0,0,2417,,
2015-02-18,METRO 2015,151,Isoniazida - rifampicina- pirazinamida - etambutol,Tableta 75 mg/ 150 mg/ 400 mg/ 300 mg 240 tabletas,0,0,2418,,
2015-02-18,METRO 2015,152,Benzatina bencilpenicilina,Suspensión inyectable 2 400 000 UI Frasco ámpula y diluyente con 5 ml,0,0,2509,,
2015-02-18,METRO 2015,153,Bencilpenicilina procaínica,Suspensión inyectable 2 400 000 UI Frasco ámpula con diluyente,0,0,2510,,
2015-02-18,METRO 2015,154,Nitazoxanida,Tableta 200 mg 6 tabletas,0,0,2519,,
2015-02-18,METRO 2015,155,Nitazoxanida,Gragea ó tableta recubierta 500 mg 6 grageas ó tabletas recubiertas,0,0,2523,,
2015-02-18,METRO 2015,156,Nitazoxanida,Gragea ó tableta recubierta 500 mg 10 grageas ó tabletas recubiertas,0,0,2523.01,,
2015-02-18,METRO 2015,157,Nitazoxanida,Gragea ó tableta recubierta 500 mg 14 grageas ó tabletas recubiertas,0,0,2523.02,,
2015-02-18,METRO 2015,158,Nitazoxanida,Suspensión oral 100 mg/5 ml Envase con 30 ml,0,0,2524,,
2015-02-18,METRO 2015,159,Nitazoxanida,Suspensión oral 100 mg/5 ml Envase con 60 ml,0,0,2524.01,,
2015-02-18,METRO 2015,160,Nitazoxanida,Suspensión oral 100 mg/5 ml Envase con 100 ml,0,0,2524.02,,
2015-02-18,METRO 2015,161,Ciprofloxacino,Cápsula ó tableta 250 mg 8 cápsulas ó tabletas,0,0,4255,,
2015-02-18,METRO 2015,162,Nistatina,Suspensión Oral 100 000 UI/ml Envase para 24 ml,0,0,4260,,
2015-02-18,METRO 2015,163,Nitrofurantoína,Suspensión 25 mg/ 5ml Envase con 120 ml,0,0,5302,,
2015-02-18,METRO 2015,164,Nitrofurazona Cutánea,Pomada. 2 mg / g. Envase con 85 g.,0,0,,,
2015-02-18,METRO 2015,165,Clorfenamina,Tableta 4 mg 20 Tabletas,0,0,402,,
2015-02-18,METRO 2015,166,Difenhidramina,Jarabe 12.5 mg/5 ml Envase con 60 ml,0,0,405,,
2015-02-18,METRO 2015,167,Difenhidramina,Solución inyectable 100 mg/10 ml Frasco ámpula con 10 ml.,0,0,406,,
2015-02-18,METRO 2015,168,Clorfenamina,Jarabe 0.5 mg / ml Envase con 60 ml,0,0,408,,
2015-02-18,METRO 2015,169,Cromoglicato de sodio,Suspensión aerosol 3.6 g/100 g Envase con 16 g para 112 inhalaciones,0,0,464,,
2015-02-18,METRO 2015,170,Hidrocortisona,Solución inyectable 100 mg/2 ml 50 Frascos ámpula y 50 ampolletas con 2 ml de diluyente.,0,0,474,,
2015-02-18,METRO 2015,171,Clorfenamina,Solución inyectable 10 mg/ml 5 ampolletas,0,0,2142,,
2015-02-18,METRO 2015,172,Loratadina,Tableta o gragea 10 mg 20 tabletas o grageas,0,0,2144,,
2015-02-18,METRO 2015,173,Hidroxizina,Gragea o tableta 10 mg 30 Grageas o tabletas,0,0,409,,
2015-02-18,METRO 2015,174,Hidroxizina,Jarabe 2 mg / ml Envase con 180 ml,0,0,2143,,
2015-02-18,METRO 2015,175,Butilhioscina/Metamizol,Gragea 10 mg/ 250 mg 36 grageas,0,0,113,,
2015-02-18,METRO 2015,176,Aceite mineral,Solución Envase con 265 ml,0,0,154,,
2015-02-18,METRO 2015,177,Butilhioscina,Gragea o tableta 10 mg 10 grageas o tabletas,0,0,1206,,
2015-02-18,METRO 2015,178,Butilhioscina,Solución inyectable 20 mg/ ml 3 Ampolletas con 1.0 ml,0,0,1207,,
2015-02-18,METRO 2015,179,Cisaprida,Suspensión oral 1 mg/ ml Envase con 60 ml,0,0,1208,,
2015-02-18,METRO 2015,180,Cisaprida,Tableta 5 mg 30 tabletas,0,0,1209,,
2015-02-18,METRO 2015,181,Aluminio,Tableta 200 mg 50 tabletas,0,0,1221,,
2015-02-18,METRO 2015,182,Aluminio,Suspensión oral 350 mg/5 ml Envase con 240 ml,0,0,1222,,
2015-02-18,METRO 2015,183,Aluminio – magnesio,Tableta masticable 50 tabletas,0,0,1223,,
2015-02-18,METRO 2015,184,Aluminio – magnesio,Suspensión oral Envase con 240 ml,0,0,1224,,
2015-02-18,METRO 2015,185,Ranitidina,Gragea o tableta 150 mg 20 grageas o tabletas,0,0,1233,,
2015-02-18,METRO 2015,186,Metoclopramida,Solución inyectable 10 mg/2 ml 6 ampolletas con 2 ml,0,0,1241,,
2015-02-18,METRO 2015,187,Metoclopramida,Tableta 10 mg 20 tabletas,0,0,1242,,
2015-02-18,METRO 2015,188,Metoclopramida,Solución 4 mg/ml Frasco gotero con 20 ml,0,0,1243,,
2015-02-18,METRO 2015,189,Bismuto,Suspensión oral 1.750 g/ 100 ml Envase con 240 ml,0,0,1263,,
2015-02-18,METRO 2015,190,Senosidos A-B,Solución oral 200 mg/100 ml Envase con 75 ml,0,0,1270,,
2015-02-18,METRO 2015,191,Senosidos A-B,Solución oral 200 mg/100 ml Envase con sobre con polvo y frasco con 75 ml de solución para reconstituir,0,0,1270.01,,
2015-02-18,METRO 2015,192,Plántago psyllium,Polvo 49.7 g/100 g Envase con 400 g,0,0,1271,,
2015-02-18,METRO 2015,193,Senósidos A-B,Tableta 8.6 mg 20 tabletas,0,0,1272,,
2015-02-18,METRO 2015,194,Aceite de ricino,Solución Envase con 70 ml,0,0,1273,,
2015-02-18,METRO 2015,195,Magnesio,Suspensión oral 425 mg/5 ml Envase con 120 ml,0,0,1275,,
2015-02-18,METRO 2015,196,Fosfato y citrato de sodio,Solución 12 g-10g/100 ml. Envase con 133 ml y aplicador,0,0,1277,,
2015-02-18,METRO 2015,197,Glicerol,Supositorio 2.632 g 6 supositorios,0,0,1278,,
2015-02-18,METRO 2015,198,Glicerol,Supositorio 1.380 g 20 supositorios,0,0,1282,,
2015-02-18,METRO 2015,199,Lidocaína - hidrocortisona,Ungüento 50 mg/2.5 mg/1 g Envase con 20 g y aplicador,0,0,1363,,
2015-02-18,METRO 2015,200,Lidocaína - hidrocortisona,Supositorio 60 mg/5 mg 6 supositorios,0,0,1364,,
2015-02-18,METRO 2015,201,Butilhioscina – metamizol,Solución inyectable 20 mg/2.5 g/5 ml 5 ampolletas con 5 ml,0,0,2146,,
2015-02-18,METRO 2015,202,Cisaprida,Tableta 10 mg 30 tabletas,0,0,2147,,
2015-02-18,METRO 2015,203,Plantago ovata - senósidos A y B,Granulado 54.2 g/300 mg/100 g Envase con 100 g,0,0,2150,,
2015-02-18,METRO 2015,204,Ranitidina,Jarabe 150 mg/ 10 ml Envase 200 ml,0,0,2151,,
2015-02-18,METRO 2015,205,Cinitaprida,Comprimido 1 mg 25 comprimidos,0,0,2247,,
2015-02-18,METRO 2015,206,Cinitaprida,Granulado 1 mg 30 sobres,0,0,2248,,
2015-02-18,METRO 2015,207,Cinitaprida,Solución oral 20 mg/100 ml (1 mg/5 ml) Envase con 120 ml y cucharita dosificadora,0,0,2249,,
2015-02-18,METRO 2015,208,Loperamida,Comprimido  tableta o gragea 2 mg 12 comprimidos  tabletas o grageas,0,0,4184,,
2015-02-18,METRO 2015,209,Estrógenos conjugados,Gragea o tableta 0.625 mg 42 grageas o tabletas,0,0,1489,,
2015-02-18,METRO 2015,210,Estrógenos conjugados,Gragea o tableta 1.250 mg 42 grageas o tabletas,0,0,1499,,
2015-02-18,METRO 2015,211,Estrógenos conjugados,Gragea o tableta 0.625 mg 42 grageas o tabletas,0,0,1501,,
2015-02-18,METRO 2015,212,Estrógenos conjugados,Gragea 1.250 mg 42 Grageas,0,0,1502,,
2015-02-18,METRO 2015,213,Estrógenos conjugados,Crema vaginal 0.625 mg/ g Envase con 43 g y aplicador,0,0,1506,,
2015-02-18,METRO 2015,214,Metronidazol,Óvulo o tableta vaginal 500 mg 10 óvulos o tabletas vaginales,0,0,1561,,
2015-02-18,METRO 2015,215,Nitrofural,Óvulo 6 mg 6 óvulos,0,0,1562,,
2015-02-18,METRO 2015,216,Nistatina,Óvulo o tableta vaginal 100 000 UI 12 óvulos o tabletas vaginales,0,0,1566,,
2015-02-18,METRO 2015,217,Estriol,Crema 100 mg/100 g Envase con 15 g,0,0,4206,,
2015-02-18,METRO 2015,218,Acenocumarol,Tableta 4 mg 20 tabletas,0,0,624,,
2015-02-18,METRO 2015,219,Acenocumarol,Tableta 4 mg 30 tabletas,0,0,624.01,,
2015-02-18,METRO 2015,220,Fitomenadiona,Solución o Emulsión inyectable 10 mg 3 ampolletas con 1.0 ml,0,0,626,,
2015-02-18,METRO 2015,221,Fitomenadiona,Solución o Emulsión inyectable 10 mg 5 ampolletas con 1.0 ml,0,0,626.01,,
2015-02-18,METRO 2015,222,Fumarato ferroso,Tableta 200 mg 50 tabletas,0,0,1701,,
2015-02-18,METRO 2015,223,Fumarato ferroso,Suspensión oral 29 mg/ml Envase con 120 ml,0,0,1702,,
2015-02-18,METRO 2015,224,Sulfato ferroso,Tableta 200 mg 30 tabletas,0,0,1703,,
2015-02-18,METRO 2015,225,Sulfato ferroso,Solución 125 mg/ ml Envase gotero con 15 ml,0,0,1704,,
2015-02-18,METRO 2015,226,Fitomenadiona,Solución o Emulsión inyectable 2 mg 3 ampolletas con 0.2 ml,0,0,1732,,
2015-02-18,METRO 2015,227,Fitomenadiona,Solución o Emulsión inyectable 2 mg 5 ampolletas con 0.2 ml,0,0,1732.01,,
