FECHA,CONTRATO,No. Concepto,Descripción detallada de los bienes                                                                (principio activo),Presentación                                                                                  unidad de medida ,MAXIMO,MINIMO,CLAVE GOB
2015-02-25,OAXACA,15,Ampicilina,Ampicilina Tableta o cápsula 500 mg 20 tabletas o cápsulas,0,0,1929
2015-02-25,OAXACA,16,Aripiprazol,Aripiprazol2 Tableta 20 mg 10 tabletas,0,0,4491
2015-02-25,OAXACA,17,Atomoxetina,Atomoxetina Cápsula  60 mg 14 cápsulas,0,0,3309
2015-02-25,OAXACA,18,Atropina,Atropina Ungüento oftálmico 10 mgg Envase con 3 g,0,0,2873
2015-02-25,OAXACA,19,Baño coloide,Baño coloide Harina de soya 965 mg. contenido proteico 45% polividona 20 mg. Envase con dos sobres individuales de 90 g.,0,0,801.01
2015-02-25,OAXACA,20,Bencilpenicilina ,Bencilpenicilina benzatínicacompuesta Suspensión inyectable Benzatínica 600 000UI    Procaínica 300 000UI     Cristalina 300 000UI Frasco ámpula y  diluyente con 3 ml,0,0,1938
2015-02-25,OAXACA,21,Bencilpenicilina ,Bencilpenicilina procaínica Suspensión inyectable 2 400 000 UI Frasco ámpula con diluyente,0,0,2510
2015-02-25,OAXACA,22,Bencilpenicilina ,Bencilpenicilina sódica cristalina Solución inyectable 5 000 000 UI Frasco ámpula,0,0,1933
2015-02-25,OAXACA,23,Benzoilo,Benzoilo Loción dérmica o gel dérmico 5 g100 ml o 5 g100g Envase con 60 grs,0,0,822.02
2015-02-25,OAXACA,24,Betametasona,Betametasona Solución inyectable 4 mg  ml Ampolleta o Frasco ámpula con 1 ml,0,0,2141
2015-02-25,OAXACA,25,Bicarbonato de sodio,Bicarbonato de sodio Solución inyectable al 0.075 3.75 g50 ml Envase con 50 ml,0,0,3618
2015-02-25,OAXACA,26,Bicarbonato de sodio,Bicarbonato de sodio Solución inyectable al 0.075 0.75 g10 ml 50 ampolletas con 10 ml,0,0,3619
2015-02-25,OAXACA,27,Bupivacaína ,Bupivacaína hiperbárica Solución inyectable Bupivacaína 15 mg Dextrosa 240 mg 5 ampolletas con 3 ml,0,0,4055
2015-02-25,OAXACA,28,Buprenorfina,Buprenorfina Tableta sublingual 0.2 mg 20 tabletas,0,0,2100.01
2015-02-25,OAXACA,29,Carbamazepina,Carbamazepina Tableta 400 mg 20 tabletas,0,0,2164
2015-02-25,OAXACA,30,Carbón activado,Carbón activado Polvo 1 kg Envase con 1 kg,0,0,2242
2015-02-25,OAXACA,31,Cefalotina,Cefalotina Solución inyectable 1 g5 mg Frasco ámpula y 5 ml de diluyente,0,0,5256
2015-02-25,OAXACA,32,Cefepima,Cefepima Solución inyectable 1 g3 ó 10 ml Frasco ámpula y 10 ml de diluyente,0,0,5295.01
2015-02-25,OAXACA,33,Cefotaxima,Cefotaxima Solución inyectable 1 g4 ml Frasco ámpula y 4 ml de diluyente,0,0,1935
2015-02-25,OAXACA,34,Ciprofloxacino,Ciprofloxacino Suspensión 250 mg5 ml Envase con 5 g y 93 ml de diluyente,0,0,4258
2015-02-25,OAXACA,35,Citalopram,Citalopram2 Tableta 20 mg 28   tabletas,0,0,5487.01
2015-02-25,OAXACA,36,Clonazepam,Clonazepam2 Solución inyectable 1 mg ml 5 ampolletas con un ml,0,0,2614
2015-02-25,OAXACA,37,Clonidina,Clonidina Comprimido 0.1 mg 30 comprimidos,0,0,2101
2015-02-25,OAXACA,38,Clopidogrel,Clopidogrel Gragea o tableta 75 mg 28 grageas o tabletas,0,0,4246.01
2015-02-25,OAXACA,39,Cloranfenicol,Cloranfenicol Cápsula 500 mg 20 cápsulas,0,0,1991
2015-02-25,OAXACA,40,Cloranfenicol ,Cloranfenicol y sulfacetamida sódica Suspensión oftálmica 0.5 g100 ml 10g 100ml Gotero integral con 5 ml,0,0,2175
2015-02-25,OAXACA,41,Cloruro de potasio,Cloruro de potasio Solución inyectable 1.49 g 10 ml 50 ampolletas con 10 ml,0,0,524
2015-02-25,OAXACA,42,Cloruro de sodio,Cloruro de sodio Solución inyectable al 0.9 % 0.9 g100 ml Envase con 250 ml,0,0,3608
2015-02-25,OAXACA,43,Cloruro de sodio,Cloruro de sodio Solución inyectable al 0.9% Envase con 50 ml,0,0,3626
2015-02-25,OAXACA,44,Clozapina,Clozapina2 Comprimido 100 mg 50 comprimidos,0,0,3259.01
2015-02-25,OAXACA,45,Dactinomicina,Dactinomicina Solución inyectable 0.5 mg Frasco ámpula,0,0,4429
2015-02-25,OAXACA,46,Desflurano,Desflurano Líquido 240 ml. Envase con 240 ml,0,0,234
2015-02-25,OAXACA,47,Dexmedetomidina,Dexmedetomidina Solución inyectable 200 ?g 1 frasco ámpula,0,0,247
2015-02-25,OAXACA,48,Dextrán,Dextrán Solución inyectable al 10 % Dextrán 40 000 10 g100ml glucosa 5 g 100 ml 500 ml,0,0,641
2015-02-25,OAXACA,49,Dextrán,Dextrán Solución inyectable al 6 % Dextrán 60 000 6 g100ml Cloruro de sodio 7.5g 100ml 250 ml,0,0,4551
2015-02-25,OAXACA,50,Diclofenaco,Diclofenaco Cápsula o gragea deliberación prolongada 100 mg 20 cápsulas o grageas,0,0,3417
2015-02-25,OAXACA,51,Dicloxacilina,Dicloxacilina Cápsula o comprimido 500 mg 20 cápsulas o comprimidos,0,0,1926
2015-02-25,OAXACA,52,Difenhidramina,Difenhidramina Jarabe 12.5 mg5 ml Envase con 60 ml,0,0,405
2015-02-25,OAXACA,53,Difenhidramina,Difenhidramina Solución inyectable 100 mg10 ml Frasco ámpula con 10 ml,0,0,406
2015-02-25,OAXACA,54,Dimenhidrinato,Dimenhidrinato Solución inyectable 50 mgml Ampolleta con 1 ml,0,0,2196
2015-02-25,OAXACA,55,Doxiciclina,Doxiciclina Cápsula o tableta 100 mg 10 cápsulas o tabletas,0,0,1940
2015-02-25,OAXACA,56,Doxiciclina,Doxiciclina Cápsula o tableta 50 mg 28 cápsulas o tabletas,0,0,1941
2015-02-25,OAXACA,57,Electrolitos orales,Electrolitos orales Polvo para solución Glucosa 20 g KCl 1.5 g NaCl 3.5 g citrato trisódico 2.9 g Envase con 27.9 g,0,0,3623
2015-02-25,OAXACA,58,Epinefrina,Epinefrina Solución inyectable 1 mg 1:1000 50 ampolletas de 1.0 ml,0,0,611
2015-02-25,OAXACA,59,ESMOLOL,ESMOLOL SOLUCIÓN INYECTABLE. Cada frasco ámpula contiene: Clorhidrato de esmolol 100 mg. Envase con un frasco ámpula con 10 ml. 10 mg ml.,0,0,5104
2015-02-25,OAXACA,60,Estrógenos conjugados,Estrógenos conjugados Gragea o tableta 0.625 mg 42 grageas o tabletas,0,0,1489
2015-02-25,OAXACA,61,Etambutol,Etambutol Tableta 400 mg 50 tabletas,0,0,2405
2015-02-25,OAXACA,62,Ezetimiba,Ezetimiba Tableta 10 mg 30 tabletas,0,0,4024.05
2015-02-25,OAXACA,63,Fenitoína,Fenitoína Solución inyectable 250 mg 5ml Una Ampolleta con 5 ml,0,0,2624
2015-02-25,OAXACA,64,Fenobarbital,Fenobarbital Tableta 15 mg 10 tabletas,0,0,2602
2015-02-25,OAXACA,65,Fenobarbital,Fenobarbital Elixir 20 mg5 ml Envase con 60 ml y dosificador de 5 ml,0,0,2619
2015-02-25,OAXACA,66,Fluoxetina,Fluoxetina Cápsula o tableta 20 mg 28 cápsulas o tabletas,0,0,4483.01
2015-02-25,OAXACA,67,Fosfato de potasio,Fosfato de potasio Solución inyectable Potasio dibásico 1.550 g10 ml potasio monofásico 0.300 g 10 ml 50 ampolletas con 10 ml,0,0,3617
2015-02-25,OAXACA,68,Fumarato ferroso,Fumarato ferroso Tabletas 200 mg 50 tableta,0,0,1701
2015-02-25,OAXACA,69,Fumarato ferroso,Fumarato ferroso Suspensión oral 29 mgml l Envase con 120 m,0,0,1702
2015-02-25,OAXACA,70,Furosemida,Furosemida Solución inyectable 20 mg 2 ml 5 ampolletas con 2 ml,0,0,2308
2015-02-25,OAXACA,71,Gabapentina,Gabapentina Cápsula 300 mg 15 cápsulas,0,0,4359
2015-02-25,OAXACA,72,Gentamicina,Gentamicina Solución inyectable 20 mg Ampolleta con 2 ml,0,0,1955
2015-02-25,OAXACA,73,Gluconato de calcio,Gluconato de calcio Solución inyectable al 10% 1 g10 ml 100 ampolletas con 10 ml,0,0,3620.01
2015-02-25,OAXACA,74,Glucosa,Glucosa Solución inyectable al 10% Glucosa anhidra 10 g100 ml Envase con 500 ml,0,0,3604
2015-02-25,OAXACA,75,Glucosa,Glucosa Solución inyectable al 50 % ml Glucosa anhidra 50 g100 ml Envase con 250,0,0,3606
2015-02-25,OAXACA,76,Glucosa,Glucosa Solución inyectable al 50% 50 g 100 ml Envase con 50 ml,0,0,3607
2015-02-25,OAXACA,77,Glucosa,Glucosa Solución inyectable al 0.05 Glucosa anhidra 5 g100 ml Envase con 50 ml,0,0,3624
2015-02-25,OAXACA,78,Glucosa,Glucosa Solución inyectable al 0.05 Glucosa anhidra5 g 100 ml Envase con 100 ml,0,0,3625
2015-02-25,OAXACA,79,Glucosa,Glucosa Solución inyectable al 5% Glucosa anhidra o glucosa5g100 ml o glucosa monohidratada equivalente a 5g de glucosa Envase con bolsa de 50 ml y adaptador para vial,0,0,3631
2015-02-25,OAXACA,80,Glucosa,Glucosa Solución inyectable al 5% Glucosa anhidra o glucosa5g100 ml o glucosa monohidratada equivalente a 5g de glucosa Envase con bolsa de 100 ml y adaptadorpara vial,0,0,3632
2015-02-25,OAXACA,81,Haloperidol,Haloperidol2 Solución inyectable 50 mg  ml 5 ampolletas con 1 ml,0,0,4481.01
2015-02-25,OAXACA,82,Hidralazina,Hidralazina Solución inyectable 10 mg ml 5 ampolletas con 1.0   ml,0,0,2116
2015-02-25,OAXACA,83,Hidralazina,Hidralazina Solución inyectable 20 mg 5 ampolletas con 1.0 ml,0,0,4201
2015-02-25,OAXACA,84,Indometacina,Indometacina Supositorio 100 mg 15 supositorios,0,0,3412.01
2015-02-25,OAXACA,85,Indometacina,Indometacina Solución inyectable 1 mg2 ml Frasco ámpula con 2 ml,0,0,4202
2015-02-25,OAXACA,86,Insulina detemir,Insulina detemir Solución inyectable 100 U 14.20 mg Envase con 5 plumas prellenadas con 3 ml 3 ml 100 Uml,0,0,4165.01
2015-02-25,OAXACA,87,Insulina glargina,Insulina glargina Solución inyectable 3.64 mgml Envase con 5 cartuchos de vidro con 3 ml en dispositivo desechable,0,0,4158.01
2015-02-25,OAXACA,88,Insulina humana acción intermedia NPH,Insulina humana acción intermedia NPH Suspensión inyectable 100 UIml Un Frasco ámpula con 10 ml,0,0,1050.01
2015-02-25,OAXACA,89,Insulina humana de acción intermedia lenta,Insulina humana de acción intermedia lenta Suspensión inyectable 100 UIml Un frasco ámpula con 10 ml,0,0,4157
2015-02-25,OAXACA,90,Ipratropio,Ipratropio Solución 0.25 mg ml Frasco ámpula con 20 ml,0,0,2187
2015-02-25,OAXACA,91,Isoniazida,Isoniazida-rifampicina Comprimido o cápsula 200 mg 150 mg 120 comprimidos o cápsulas,0,0,2415
2015-02-25,OAXACA,92,Itraconazol,Itraconazol Cápsula 100 mg 15 cápsulas,0,0,2018
2015-02-25,OAXACA,93,Ketamina,Ketamina Solución inyectable 500 mg10 ml Frasco ámpula con 10 ml,0,0,226
2015-02-25,OAXACA,94,Lacosamida,Lacosamida Tableta 150 mg 28 tabletas,0,0,5662
2015-02-25,OAXACA,95,Levodopa ,Levodopa y carbidopa2 Tableta de liberación prolongada 20050 mg 100 tabletas de liberación prolongada,0,0,2657.01
2015-02-25,OAXACA,96,Levofloxacino,Levofloxacino Tabletas 500 mg 7 tabletas,0,0,4299
2015-02-25,OAXACA,97,Lidocaína,Lidocaína Gel 20 mgml Envase con 30 ml,0,0,260.02
2015-02-25,OAXACA,98,Lidocaína,Lidocaína Solución inyectable al 1 % 500 mg50 ml 5 frascos ámpula con 50 ml,0,0,261
2015-02-25,OAXACA,99,Lidocaína,Lidocaína Solución inyectable al 5 % 100 mg2 ml 50 ampolletas con 2 ml,0,0,263
2015-02-25,OAXACA,100,Lidocaína,Lidocaína Solución inyectable 100 mg 5 ml Ampolleta con 5 ml,0,0,522
2015-02-25,OAXACA,101,Lidocaína,Lidocaína epinefrina Solución inyectable al 2% Lidocaína 1 g Epinefrina 0.25 mg 5 frascos ámpula con 50 ml,0,0,265
2015-02-25,OAXACA,102,LOPERAMIDA,LOPERAMIDA COMPRIMIDO TABLETA O GRAGEA. Cada comprimido tabletas o gragea contiene: Clorhidrato de loperamida 2 mg. Envase con 12 comprimidos tabletas o grageas.,0,0,4184
2015-02-25,OAXACA,103,Losartán,Losartán Gragea o comprimido recubierto 50 mg  30 grageas o comprimidos,0,0,2520
2015-02-25,OAXACA,104,Magnesio sulfato de,Magnesio sulfato de Solución inyectable 1 g10 ml 100 ampolletas con 10 ml,0,0,3629
2015-02-25,OAXACA,105,Mebendazol,Mebendazol Tableta 100 mg 6 tabletas,0,0,2136
2015-02-25,OAXACA,106,Metilfenidato,Metilfenidato2 Tableta de liberaciónprolongada 27 mg 30   tabletas de liberación prolongada,0,0,4471.01
2015-02-25,OAXACA,107,Metilfenidato,Metilfenidato2 Tableta de liberaciónprolongada 36 mg 30 tabletas de liberación prolongada,0,0,4472.01
2015-02-25,OAXACA,108,Metocarbamol,Metocarbamol Tabletas 400 mg Envase con 30 tabletas  ,0,0,3444
2015-02-25,OAXACA,109,Metotrexato,Metotrexato Solución inyectable 500 mg Frasco ámpula,0,0,1776
2015-02-25,OAXACA,110,Midazolam,Midazolam Solución inyectable 50 mg10 ml 5 ampolletas con 10 ml,0,0,4060
2015-02-25,OAXACA,111,Minociclina,Minociclina Gragea 100 mg 48 grageas,0,0,4139.01
2015-02-25,OAXACA,112,Montelukast,Montelukast Granulado 4 mg 30 sobres,0,0,4335.02
2015-02-25,OAXACA,113,Morfina,Morfina Solución Inyectable 2.5mg Envase con 5 ampolletas con 2.5 ml,0,0,2099
2015-02-25,OAXACA,114,Nadroparina,Nadroparina Solución inyectable 2 850 UI Axa0.3 ml 10 Jeringas con 0.3 ml,0,0,2155.01
2015-02-25,OAXACA,115,NADROPARINA,NADROPARINA SOLUCION INYECTABLE. Cada jeringa contiene: Nadroparina cálcica 15 200 UI Axa Envase con 2 jeringas con 0.8 ml.,0,0,4221
2015-02-25,OAXACA,116,Naloxona,Naloxona Solución inyectable 0.4 mgml 10 ampolletas con 1 ml,0,0,302
2015-02-25,OAXACA,117,Naproxeno,Naproxeno Suspensión oral 125 mg 5 ml Envase con 100 ml,0,0,3419
2015-02-25,OAXACA,118,Nitazoxanida,Nitazoxanida Tableta 200 mg 10 tabletas,0,0,2519
2015-02-25,OAXACA,119,NITAZOXANIDA,NITAZOXANIDA SUSPENSIÓN ORAL. Cada 5 ml. contienen: Nitazoxanida 100 mg. Envase con 30 ml.,0,0,2524
2015-02-25,OAXACA,120,Nitrofural,Nitrofural Óvulo 6 mg 6 óvulos,0,0,1562
2015-02-25,OAXACA,121,Nitrofurazona,Nitrofurazona Crema  0.2 g100 g Tarro con 453.6 g,0,0,
2015-02-25,OAXACA,122,Nitroprusiato de sodio,Nitroprusiato de sodio Solución inyectable 50 mg Frasco ámpula,0,0,569
2015-02-25,OAXACA,123,Ofloxacina,Ofloxacina Tableta 400 mg 12 tabletas,0,0,4261.02
2015-02-25,OAXACA,124,OLANZAPINA,OLANZAPINA TABLETA. Cada tableta contiene: Olanzapina 5 mg. Envase con 28 tabletas.,0,0,5485.01
2015-02-25,OAXACA,125,Olanzapina,Olanzapina Tableta 10 mg 28 tabletas,0,0,5486.01
2015-02-25,OAXACA,126,Pantoprazol ,Pantoprazol o Rabeprazol u Omeprazol Tableta o gragea ocápsula Pantoprazol 40 mg  ó                  Rabeprazol 20 mg   u                 Omeprazol 20 mg 28 tabletas o grageas o cápsulas,0,0,5186.02
2015-02-25,OAXACA,127,Paroxetina,Paroxetina Tableta 20 mg 10 tabletas,0,0,5481
2015-02-25,OAXACA,128,Pilocarpina,Pilocarpina Solución oftálmica al 2% 20 mg ml Gotero integral con 15 ml,0,0,2851
2015-02-25,OAXACA,129,Pilocarpina,Pilocarpina Solución oftálmica al 4% 40 mg ml Gotero integral con 15 ml,0,0,2852
2015-02-25,OAXACA,130,Piridoxina,Piridoxina Tabletas 300 mg 10 tabletas,0,0,5232
2015-02-25,OAXACA,131,Polimerizado de gelatina,Polimerizado de gelatina Solución inyectable Envase con 500 ml,0,0,3664
2015-02-25,OAXACA,132,Prednisolona,Prednisolona Ungüento oftálmico 5 mgg Envase con 3 g,0,0,2185
2015-02-25,OAXACA,133,Prednisolona  ,Prednisolona  sulfacetamida Suspensión oftálmica Prednisolona5 mg                            sulfacetamida 100 mgml Gotero integral con 5 ml,0,0,2186
2015-02-25,OAXACA,134,Pregabalina,Pregabalina Cápsula 75 mg 28 cápsulas,0,0,4356.01
2015-02-25,OAXACA,135,Primaquina,Primaquina Tableta 5 mg 20 tabletas,0,0,2031
2015-02-25,OAXACA,136,Primaquina,Primaquina Tableta 15 mg 20 tabletas,0,0,2032
2015-02-25,OAXACA,137,Quetiapina,Quetiapina Tableta 100 mg 60 tabletas,0,0,5489
2015-02-25,OAXACA,138,Ranitidina,Ranitidina Solución inyectable 50mg 5 ampolletas con 5 ml,0,0,1234.01
2015-02-25,OAXACA,139,"Rocuronio, Bromuro de",Rocuronio Bromuro de Solución inyectable 50 mg5 ml 12 ampolletas o frasco ámpula 5 ml,0,0,4059
2015-02-25,OAXACA,140,Salbutamol,Salbutamol Suspensión aerosol 20 mg Envase con inhalador para 200dosis de 100 200dosis de 100 ?g,0,0,429
2015-02-25,OAXACA,141,Sevoflurano,Sevoflurano Líquido 250 ml Envase con 250 ml,0,0,233
2015-02-25,OAXACA,142,Simvastatina,Simvastatina Tableta 20 mg 30 tabletas,0,0,4124.01
2015-02-25,OAXACA,143,Suero antiviperino,Suero antiviperino Solución inyectable Frasco ampula y diluyente con 10 ml,0,0,3843
2015-02-25,OAXACA,144,"Suxametonio, Cloruro de",Suxametonio Cloruro de Solución inyectable 40 mg2 ml 5 ampolletas con 2 ml,0,0,252
2015-02-25,OAXACA,145,Tamsulosina,Tamsulosina Cápsula de liberación prolongada 0.4 mg 30 cápsulas,0,0,5309.02
2015-02-25,OAXACA,146,Terbutalina,Terbutalina Solución inyectable 0.25 mg ml 3 ampolletas,0,0,432
2015-02-25,OAXACA,147,Terbutalina,Terbutalina Tableta 5 mg 20 tabletas,0,0,433
2015-02-25,OAXACA,148,Terbutalina,Terbutalina Polvo 0.5 mgdosis Envase con inhalador para 200 dosis,0,0,438
2015-02-25,OAXACA,149,Tiopental sódico,Tiopental sódico Solución inyectable 0.5 g20 ml Frasco ámpula y diluyente con 20 ml,0,0,221
2015-02-25,OAXACA,150,Trifluoperazina,Trifluoperazina2 Gragea o tableta 5 mg 30 grageas o tabletas,0,0,3241.01
2015-02-25,OAXACA,151,Trinitrato de glicerilo,Trinitrato de glicerilo Solución inyectable 50 mg10 ml Frasco ámpula con 10 ml,0,0,4114
2015-02-25,OAXACA,152,Valaciclovir,Valaciclovir Comprimido recubierto 500 mg 10 comprimidos recubiertos,0,0,4372
2015-02-25,OAXACA,153,Vecuronio,Vecuronio Solución inyectable 4 mg1 ml 50 frascos ámpula con liofilizado y 50 ampolletas con 1 ml de diluyente,0,0,254
2015-02-25,OAXACA,154,Venlafaxina,Venlafaxina Cápsula o gragea de liberación prolongada 75 mg 10 cápsulas o grageas de liberaciónprolongada,0,0,4488
2015-02-25,OAXACA,155,Vitamina A,Vitamina A Cápsula 50 000 UI 40 cápsulas,0,0,2191
2015-02-25,OAXACA,156,Vitamina A,Vitamina A Solución 200 000 UI por dosis Envase con 50 dosis,0,0,3835.01
2015-02-25,OAXACA,157,Vitaminas (Polivitaminas) y minerales,Vitaminas Polivitaminas y minerales Tableta cápsula o gragea Vitamina B1 B2 B6 B12niacinamida E A D3 Ácidopantoténico sulfato ferrosocobre magnesio zinc. 30 tabletas cápsulas o grageas,0,0,4376
2015-02-25,OAXACA,158,Vitaminas (Polivitaminas) y minerales,Vitaminas Polivitaminas y minerales Jarabe Vitamina A D E C B1 B2B6 B12 nicotinamina y hierro Envase con 240 ml,0,0,5383
2015-02-25,OAXACA,159,Zuclopentixol,Zuclopentixol2 Tableta 25 mg 50 tabletas,0,0,5484.01
2015-02-25,OAXACA,160,DEXMEDETOMIDINA,DEXMEDETOMIDINA SOLUCIÓN INYECTABLE 200 ?G 1 FRASCO ÁMPULA,0,0,247
2015-02-25,OAXACA,161,LIDOCAÍNA,LIDOCAÍNA SOLUCIÓN INYECTABLE AL 1 % 500 MG50 ML 5 FRASCOS ÁMPULA CON 50 ML,0,0,261
2015-02-25,OAXACA,162,DIFENHIDRAMINA,DIFENHIDRAMINA JARABE 12.5 MG5 ML ENVASE CON 60 ML,0,0,405
2015-02-25,OAXACA,163,DIFENHIDRAMINA,DIFENHIDRAMINA SOLUCIÓN INYECTABLE 100 MG10 ML FRASCO ÁMPULA CON 10 ML,0,0,406
2015-02-25,OAXACA,164,SALBUTAMOL,SALBUTAMOL SUSPENSIÓN AEROSOL 20 MG ENVASE CON INHALADOR PARA 200DOSIS DE 100 200DOSIS DE 100 ?G,0,0,429
2015-02-25,OAXACA,165,CLORURO DE POTASIO,CLORURO DE POTASIO SOLUCIÓN INYECTABLE 1.49 G 10 ML 50 AMPOLLETAS CON 10 ML,0,0,524
2015-02-25,OAXACA,166,NITROPRUSIATO DE SODIO,NITROPRUSIATO DE SODIO SOLUCIÓN INYECTABLE 50 MG FRASCO ÁMPULA,0,0,569
2015-02-25,OAXACA,167,EPINEFRINA,EPINEFRINA SOLUCIÓN INYECTABLE 1 MG 1:1000 50 AMPOLLETAS DE 1.0 ML,0,0,611
2015-02-25,OAXACA,168,DEXTRÁN,DEXTRÁN SOLUCIÓN INYECTABLE AL 10 % DEXTRÁN 40 000 10 G100ML GLUCOSA 5 G 100 ML 500 ML,0,0,641
2015-02-25,OAXACA,169,NITROFURAL,NITROFURAL ÓVULO 6 MG 6 ÓVULOS,0,0,1562
2015-02-25,OAXACA,170,ACIDO FÓLICO,ACIDO FÓLICO TABLETA 4 MG 90 TABLETAS,0,0,1700
2015-02-25,OAXACA,171,FUMARATO FERROSO,FUMARATO FERROSO TABLETAS 200 MG 50 TABLETA,0,0,1701
2015-02-25,OAXACA,172,FUMARATO FERROSO,FUMARATO FERROSO SUSPENSIÓN ORAL 29 MGML L ENVASE CON 120 M,0,0,1702
2015-02-25,OAXACA,173,ACIDO FÓLICO,ACIDO FÓLICO TABLETA 0.4 MG 90 TABLETAS,0,0,1711
2015-02-25,OAXACA,174,DICLOXACILINA,DICLOXACILINA CÁPSULA O COMPRIMIDO 500 MG 20 CÁPSULAS O COMPRIMIDOS,0,0,1926
2015-02-25,OAXACA,175,AMPICILINA,AMPICILINA TABLETA O CÁPSULA 500 MG 20 TABLETAS O CÁPSULAS,0,0,1929
2015-02-25,OAXACA,176,BENCILPENICILINA,BENCILPENICILINA SÓDICA CRISTALINA SOLUCIÓN INYECTABLE 5 000 000 UI FRASCO ÁMPULA,0,0,1933
2015-02-25,OAXACA,177,CEFOTAXIMA,CEFOTAXIMA SOLUCIÓN INYECTABLE 1 G4 ML FRASCO ÁMPULA Y 4 ML DE DILUYENTE,0,0,1935
2015-02-25,OAXACA,178,BENCILPENICILINA ,BENCILPENICILINA BENZATÍNICACOMPUESTA SUSPENSIÓN INYECTABLE BENZATÍNICA 600 000UI    PROCAÍNICA 300 000UI     CRISTALINA 300 000UI FRASCO ÁMPULA Y  DILUYENTE CON 3 ML,0,0,1938
2015-02-25,OAXACA,179,GENTAMICINA,GENTAMICINA SOLUCIÓN INYECTABLE 20 MG AMPOLLETA CON 2 ML,0,0,1955
2015-02-25,OAXACA,180,ITRACONAZOL,ITRACONAZOL CÁPSULA 100 MG 15 CÁPSULAS,0,0,2018
2015-02-25,OAXACA,181,AMOXICILINA,AMOXICILINA-ÁCIDO CLAVULÁNICO SUSPENSIÓN 125 MG31.25MG5 ML ENVASE CON 60 ML,0,0,2129
2015-02-25,OAXACA,182,AMOXICILINA,AMOXICILINA-ÁCIDO CLAVULÁNICO SOLUCIÓN INYECTABLE 500 MG100 MG ENVASE CON UN FRASCO ÁMPULA CON 10 ML,0,0,2130
2015-02-25,OAXACA,183,MEBENDAZOL,MEBENDAZOL TABLETA 100 MG 6 TABLETAS,0,0,2136
2015-02-25,OAXACA,184,BETAMETASONA,BETAMETASONA SOLUCIÓN INYECTABLE 4 MG  ML AMPOLLETA O FRASCO ÁMPULA CON 1 ML,0,0,2141
2015-02-25,OAXACA,185,AMOXICILINA,AMOXICILINA-ÁCIDO CLAVULÁNICO TABLETA 500 MG125 MG 16   TABLETAS,0,0,2230.01
2015-02-25,OAXACA,186,CARBÓN ACTIVADO,CARBÓN ACTIVADO POLVO 1 KG ENVASE CON 1 KG,0,0,2242
2015-02-25,OAXACA,187,FUROSEMIDA,FUROSEMIDA SOLUCIÓN INYECTABLE 20 MG 2 ML 5 AMPOLLETAS CON 2 ML,0,0,2308
2015-02-25,OAXACA,188,LOSARTÁN,LOSARTÁN GRAGEA O COMPRIMIDO RECUBIERTO 50 MG  30 GRAGEAS O COMPRIMIDOS,0,0,2520
2015-02-25,OAXACA,189,FENITOÍNA,FENITOÍNA SOLUCIÓN INYECTABLE 250 MG 5ML UNA AMPOLLETA CON 5 ML,0,0,2624
